Designator,Footprint,Quantity,Value,LCSC Part #
"J15, J4",TE_mezzanine_conn_3-2363962-0,2,TE 3-2363962-0 Connector,C425104
J7,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST SH,C160404
"R2, R4",0402,2,10k,C25744
